127.0.0.1, 2013-01-21 14:12:23, GET, /myapp/static/js/calendar.js, HTTP/1.1, 304, 0.016000
127.0.0.1, 2013-01-21 14:12:23, GET, /myapp/static/css/web2py.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 14:12:23, GET, /myapp/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 14:12:23, GET, /myapp/static/js/web2py.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 14:12:23, GET, /myapp/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 14:12:23, GET, /myapp/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 14:12:23, GET, /myapp/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 14:12:23, GET, /myapp/static/js/share.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 14:12:23, GET, /myapp/static/images/twitter.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 14:12:23, GET, /myapp/static/images/facebook.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 14:12:23, GET, /myapp/static/images/gplus-32.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 14:12:52, GET, /admin/default/edit/myapp/controllers/default.py, HTTP/1.1, 200, 0.079000
127.0.0.1, 2013-01-21 14:12:55, GET, /admin/default/peek/myapp/controllers/default.py, HTTP/1.1, 200, 0.063000
127.0.0.1, 2013-01-21 14:12:56, GET, /admin/default/design/myapp, HTTP/1.1, 200, 0.235000
127.0.0.1, 2013-01-21 14:12:58, GET, /admin/default/edit/myapp/controllers/default.py, HTTP/1.1, 200, 0.063000
127.0.0.1, 2013-01-21 14:13:01, GET, /admin/default/design/myapp, HTTP/1.1, 200, 0.235000
127.0.0.1, 2013-01-21 14:13:13, GET, /admin/default/peek/myapp/views/default/index.html, HTTP/1.1, 200, 0.062000
127.0.0.1, 2013-01-21 14:13:58, GET, /admin/default/edit/myapp/views/default/index.html, HTTP/1.1, 200, 0.141000
127.0.0.1, 2013-01-21 14:14:24, POST, /admin/default/edit/myapp/views/default/index.html, HTTP/1.1, 200, 0.046000
127.0.0.1, 2013-01-21 14:14:57, GET, /admin/default/design/myapp, HTTP/1.1, 200, 0.234000
127.0.0.1, 2013-01-21 14:15:03, GET, /admin/default/peek/myapp/controllers/default.py, HTTP/1.1, 200, 0.063000
127.0.0.1, 2013-01-21 14:15:42, GET, /myapp, HTTP/1.1, 200, 0.031000
127.0.0.1, 2013-01-21 14:51:20, GET, /admin/default/peek/myapp/views/generic.html, HTTP/1.1, 200, 0.094000
127.0.0.1, 2013-01-21 14:51:26, GET, /admin/default/edit/myapp/views/generic.html, HTTP/1.1, 200, 0.094000
127.0.0.1, 2013-01-21 14:55:08, GET, /admin/default/peek/myapp/views/default/index.html, HTTP/1.1, 200, 0.078000
127.0.0.1, 2013-01-21 14:55:24, GET, /admin/default/peek/myapp/controllers/default.py, HTTP/1.1, 200, 0.062000
127.0.0.1, 2013-01-21 14:56:36, GET, /admin/default/edit/myapp/controllers/default.py, HTTP/1.1, 200, 0.078000
